,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-4974757204495953627,Alecrim/AlecrimCoreData,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,What to Expect at WWDC 2016
-4944551138301474550,Algorithms and architecture for job recommendations,Google's Cloud Machine Learning service is now in public beta,AI Is Here to Help You Write Emails People Will Actually Read,Machine Learning Is No Longer Just for Experts,The AI business landscape,Text summarization with TensorFlow
-4888170580455425266,Speeding up ReSharper (and Visual Studio),'We've realized a ten-year strategy goal in one year',The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,What to Inspect When You are Inspecting!,Nintendo has doubled in value since Pokémon Go's release
-4875060556471576861,Jenkins 2.0 is here!,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Google's Cloud Machine Learning service is now in public beta,Why Google App Engine rocks: A Google engineer's take,Graph Capabilities with the Elastic Stack
-4831310174172854034,Standing on the Shoulders of Giants - Built to Adapt,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,The Netflix Tech Blog: Netflix Billing Migration to AWS,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Building Spring Cloud Microservices That Strangle Legacy Systems
-4798431998955209742,What Color is Your Function?,"GitHub broke my 1,000 day streak - Free Code Camp","Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",Alecrim/AlecrimCoreData,You don't talk about refactoring club,System Code Geeks are giving away a FREE Sublime Text Editor License
-4765711818183276269,Google lags behind Amazon and Microsoft's cloud in one important area,The AI business landscape,"Amazon open-sources its own deep learning software, DSSTNE",Google Cloud Goes to the Farm,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog","Hello, TensorFlow!"
-4754223659064624252,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Promises | Web Fundamentals - Google Developers,You don't talk about refactoring club,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog
-4700714777342103147,"Say goodbye to traditional customer segmentation "" Banking Technology",Nubank começa a testar seu programa de fidelidade - Empresas Tech,Mobile banking conquista o coração dos brasileiros,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",CMN regulamenta abertura de conta de depósito por meio eletrônico,Mobile Time
-4655195825208522542,Java 9 na prática: Jigsaw,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,"Google, Amazon and the upcoming battle over AI Assistants",The Java 8 API Design Principles,The technology behind preview photos,The Children's Illustrated Guide to Kubernetes
-4625438649010928449,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,How to Create an Exponential Mindset,Gartner Reprint,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL
-4509487968959834430,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,"Para neurociência, motivação não é fator principal em mudança de hábitos",Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O que você deve fazer para se tornar um líder melhor?,How to augment your career with leadership coaching
-4503975842879662368,Google Ranking Factors: The Complete List,How Coca-Cola Is Harvesting Innovation Energy From Startups,bliki: StranglerApplication,Creating Your Code Review Checklist - DaedTech,Top 30 Commonly Confused Words in English,Meet Aquifer: A build system for easier Drupal development
-4487024160266973763,Visa inaugura Co-Creation Center em São Paulo,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Mobile Time,Nubank começa a testar seu programa de fidelidade - Empresas Tech,CMN regulamenta abertura de conta de depósito por meio eletrônico,Bad Writing Is Destroying Your Company's Productivity
-4460374799273064357,"Deep Learning for Chatbots, Part 1 - Introduction",Algorithms and architecture for job recommendations,AI Is Here to Help You Write Emails People Will Actually Read,Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is Redefining The Enterprise In 2016
-4386371945374980231,Por que o Walmart não é Walmart no Brasil,Marketplace,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Cia. Hering sincroniza diferentes marcas em um único portal de compras,Não existe frete grátis!,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net"
-4358357193736101128,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Aplicação de visão computacional com OpenCV,Google lança experimentos com inteligência artificial | Google Discovery,1º Congresso Brasileiro de IoT - Embarcados,Burger King aceita pedidos via mensagens no Facebook - Startupi
-4338308747999225618,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,"Amazon open-sources its own deep learning software, DSSTNE",Firebase and Google Cloud: better together,The return of the machinery question,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab
-4336877432539963613,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo)
-4333957157636611418,Why Programmers Want Private Offices,Things you probably didn't know you could do with Chrome's Developer Console,On DRY and the cost of wrongful abstractions,The Ten Commandments of Egoless Programming,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,The Importance of Code Reviews
-4333056764244640444,Lentes de contato inteligentes serão o wearable definitivo,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL,Decentralizing IoT networks through blockchain,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
-4278025512576376201,#Sentaquelávemtextão,O dia em que tive mais medo de estar errada.,Google employees are adding 'Lady' to their job titles to fight sexism,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Para entender o Dia Internacional contra a Homofobia,9 Non-Threatening Leadership Strategies for Women
-4233177915193302509,Governo brasileiro cria manual para contratação de cloud,Especial: O papel dos grandes provedores de TI na Rio 2016,"No, Apple isn't the next BlackBerry - it's the next Microsoft",How This Former Google Engineer Is Bringing Blockchain to Banks,The surprising truth about which countries lead in digital,Wide & Deep Learning: Better Together with TensorFlow
-4228415104574264137,Up your app's sharing game with DirectShare - Google Developers,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Building more accessible technology,Getting Started with Activity & Fragment Transitions (part 1),Designing smart notifications
-4216050818952952471,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Algorithms and architecture for job recommendations,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",AI Is Here to Help You Write Emails People Will Actually Read,Why image recognition is about to transform business,The economic essentials of digital strategy
-4205346868684833897,"Google launches Springboard, an AI-powered assistant for its enterprise customers",The AI business landscape,"Google acquires Synergyse, an interactive training service for Google Apps","Secret's founder returns with Bold, a Medium for enterprise",The return of the machinery question,"Hello, a nova rede social do Orkut, está liberada no Brasil"
-4158297476631283435,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Inbox by Gmail ganha formatação de texto | Google Discovery,Do you want Crappy Agile?,One Dollar Board: Um projeto brasileiro para revolucionar a educação,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber
-4145260601063545880,Why Learning Angular 2 Was Excruciating,My experience with Google's Associate Android Developer Certification,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,"Explorando o novo .NET multiplataforma: ASP.NET Core, .NET Core e EF Core",Microsoft's Open Source Love Affair Reaches New Heights
-4133169317019898816,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,What Science Tells Us About Leadership Potential,Investimentos em coaching e mentoring aumentam nas empresas,4 Reasons Managers Should Spend More Time on Coaching
-4132331404553626868,Gartner Reprint,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,The Definitive Guide to Database Version Control
-4089455027188314262,Python Is Not Java (dirtSimple.org),Aplicações da Inteligência artificial | Endeavor Brasil,Firebase and Google Cloud: better together,Assista a entrevista de Linus Torvalds no TED legendada,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Front in BH 2016
-4084394822880420062,Android Studio 2.2,Closure Compiler in JavaScript,Bring Your App To Life with CALayers,Olli: Artificial Intelligence for the real world of connected commuting,"A whole new GitHub Universe: announcing new tools, forums, and features",My favorite people and resources to learn Android programming from
-4070599188332885701,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Cracking the Job Interview with TensorFlow,Vision API - Image Content Analysis,System Code Geeks are giving away a FREE Sublime Text Editor License,Communication patterns in a Microservice world,What makes a good (Android) Software Engineer
-4050006690189978332,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Transfer Style But Not Color,Firebase and Google Cloud: better together,Google's Cloud Machine Learning service is now in public beta,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Google lags behind Amazon and Microsoft's cloud in one important area
-4037032837327175755,Blaise Agüera y Arcas: How computers are learning to be creative,Artificial intelligence produces realistic sounds that fool humans,How enterprise architects can help ensure success with digital transformations,Why Deep Learning Is Suddenly Changing Your Life,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
-4029704725707465084,Former Google career coach shares a visual trick for figuring out what to do with your life,4 Reasons Managers Should Spend More Time on Coaching,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O que você deve fazer para se tornar um líder melhor?
-4027027091658759481,How I sped up the initial render of my Polymer app by 86%,Acesse a versão Material Design do YouTube | Google Discovery,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Spotify UI built with HTML / CSS - Freebiesbug,Touch (TV Series 2012-2013),Progressive Web App - first introduced on Google I/O | airberlin
-4024778022934140027,Using behavioral data to improve customer satisfaction,Google researchers teach AIs to see the important parts of images - and tell you about them,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Machine Learning Is No Longer Just for Experts,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,It's The Future
-3959242148361340089,Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Berners-Lee quer criar outra Web,Ciclistas relatam roubos com agressividade na avenida dos Andradas
-3954182109690207118,Google Cloud Goes to the Farm,The AI business landscape,"Amazon open-sources its own deep learning software, DSSTNE","Hello, TensorFlow!",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Google lags behind Amazon and Microsoft's cloud in one important area
-3944300307678659798,DBA BRASIL no INTEROPMIX 2016,Closure Compiler in JavaScript,Internet of Things Drives Outcome-Based Business Models,Elastic Stack 5.0.0 Released,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
-3912939678517879962,Jury finds Google's implementation of Java in Android was fair use,Graph Capabilities with the Elastic Stack,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,Google's cloud platform is now a force to be reckoned with,9 Non-Threatening Leadership Strategies for Women,It's The Future
-3900870368325485697,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Rewiring Citi for the digital age,7 Questions to Ask Before Your Next Digital Transformation,Two Different Sales Motions . . . .,Can Accenture Take Over Advertising?,Diane Greene wants to put the enterprise front and center of Google Cloud strategy
-3875881534863988868,Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Nubank pode fechar as portas se BC confirmar mudança amanhã,The Drive to Bank on Digital,Accenture amplia atuação no Brasil
-3864069617285644895,How to finish 3D printed PLA objects,Peças Translúcidas,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Bose's New Speaker Only Costs $150 But You Have to Build It Yourself,Bring Your App To Life with CALayers
-3850803681204406658,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Visa inaugura Co-Creation Center em São Paulo,Nubank começa a testar seu programa de fidelidade - Empresas Tech,CMN regulamenta abertura de conta de depósito por meio eletrônico,Visa lança desafio para startups de tecnologia - Startupi,Mobile Time
-3780822597455574960,Top Programming Languages Trends: The Rise of Big Data,Prisma for Android is now live for all in the Google Play Store,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,The Java 8 API Design Principles,The Internet of Things is looking for its VisiCalc,Spark comparison: AWS vs. GCP
-3750879736572068916,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The Physical Web,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Wide & Deep Learning: Better Together with TensorFlow,The AI business landscape,The return of the machinery question
-3723217532224917485,11 Internet of Things (IoT) Protocols You Need to Know About,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Como a Microsoft está trabalhando com o conceito de IoT - Startupi
-3716447017462787559,Squads não-suicidas - Hipsters #08,Progressive Web App - first introduced on Google I/O | airberlin,Touch (TV Series 2012-2013),How I sped up the initial render of my Polymer app by 86%,This Super Accurate Portrait Selection Tech Uses Neural Networks,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
-3700095596785790870,How to Design a Walkthrough That Users Will Read,Why porting an iOS design to Android will not work,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Up your app's sharing game with DirectShare - Google Developers,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
-3678789633202302491,Do You Suffer From Deployment Anxiety? - DZone DevOps,You don't talk about refactoring club,New Amazon Linux Container Image for Cloud and On-Premises Workloads,The Business Case for Progressive Web Apps,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,The Broken Window Theory
-3675009040647936899,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Anti-If: The missing patterns,Quick Tip: Working with the JavaScript Battery API,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement"
-3666646454167334466,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Cubr,Being A Developer After 40 - Free Code Camp,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone"
-3662111110237135231,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",This Super Accurate Portrait Selection Tech Uses Neural Networks,5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Wide & Deep Learning: Better Together with TensorFlow
-3605608255586388018,"GitHub broke my 1,000 day streak - Free Code Camp",What Color is Your Function?,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,Wide & Deep Learning: Better Together with TensorFlow,The hardest thing in computer science,Jenkins 2.0 is here!
-3581194288660477595,The End Of Apple Man,Google may be considering Swift for use on Android,Why porting an iOS design to Android will not work,How to Design a Walkthrough That Users Will Read,Nespresso,"Fresco, sim! - Android Dev BR"
-3552937095886146934,The Netflix Tech Blog: Netflix Billing Migration to AWS,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Notes on Reactive Programming Part I: The Reactive Landscape,Building Flipkart Lite: A Progressive Web App,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Introducing Kotlin support in Spring Framework 5.0
-3482581255202910790,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Communication patterns in a Microservice world,Microservices testing,Aplicações da Inteligência artificial | Endeavor Brasil,Sobre o Hipsters Ponto Tech
-3469502952547705884,AEM 6.1 Package Manager Metadata Files,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Multi-Channel Marketing in 2015 - It's not rocket science.,Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Do You Suffer From Deployment Anxiety? - DZone DevOps,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio
-3400154175330058574,Skill swarms - a new way to share expertise and work smarter together - Skillhive,"Secret's founder returns with Bold, a Medium for enterprise",A step-by-step guide to agile growth experiments,5 reasons your employees aren't sharing their knowledge,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Inbox by Gmail ganha formatação de texto | Google Discovery
-3363563881552061188,Do you want Crappy Agile?,Nintendo has doubled in value since Pokémon Go's release,"Agile is Dead, Long Live Continuous Delivery - Gradle",The Internet of Things is looking for its VisiCalc,Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar
-3351656282247453586,Microsoft expands its support for Docker containers,Aplicação de visão computacional com OpenCV,Acesse a versão Material Design do YouTube | Google Discovery,"Autofill: What web devs should know, but don't",DualShock 4 Repair,Google lança experimentos com inteligência artificial | Google Discovery
-3351652027149912881,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",6 reasons why I like KeystoneML,"The ""Joel Test"" for Data Science",Google's Cloud Machine Learning service is now in public beta,Programming by poking: why MIT stopped teaching SICP,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber
-3348652277274905234,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Nova pulseira tecnológica avisa se você já bebeu demais,Burger King aceita pedidos via mensagens no Facebook - Startupi,AI Is Here to Help You Write Emails People Will Actually Read,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Google lança experimentos com inteligência artificial | Google Discovery
-3338916066794638254,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Why Is Learning Drupal Hard?,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
-3302834510061927448,Bayer anuncia compra da Monsanto por US$ 66 bilhões,Will blockchain drive the fourth Industrial Revolution?,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Docker e .Net,Agronegócio mantém crescimento com tecnologia - inova.jor
-3285397592982852407,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,Confused by blockchains? Revolution vs Evolution,Measuring email effectiveness in retail banking,Banking Needs a Customer Experience Wake-Up Call,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Nubank começa a testar seu programa de fidelidade - Empresas Tech
-3275688295651945765,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Nubank e Goldman fecham parceria de R$ 200 milhões,Bradesco lança serviço inédito para estimular o hábito de poupar,The Future of Digital Banking is Now,Top Programming Languages Trends: The Rise of Big Data
-3191013159715472435,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Berners-Lee quer criar outra Web,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Shopping em BH terá fazenda urbana de 2.700 m²,Microsoft's Open Source Love Affair Reaches New Heights
-3173020603774823976,Welcome Google Cloud Platform!,Why Google App Engine rocks: A Google engineer's take,An overview of web service solutions in Drupal 8,Powering a more connected and collaborative enterprise,The AI business landscape,"Amazon open-sources its own deep learning software, DSSTNE"
-3170783292462058942,Não existe frete grátis!,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack
-3161714324304758767,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Staying one step ahead at Pixar: An interview with Ed Catmull,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Ordering coffee in Italy: the 10 commandments
-3136683414587095274,Marketplace,Por que o Walmart não é Walmart no Brasil,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,The Future of Business is Design,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
-3102652803014865472,Conselho da SABMiller aceita proposta de compra da AB InBev,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo
-3102446808559723934,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,The future of the shopping mall,6 exemplos de como usar computação cognitiva | EXAME.com,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Design Sprint: onde o design e a velocidade importam
-3071732669882279801,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,big data = real time,Organizing for digital acceleration: Making a two-speed IT operating model work,Especial: O papel dos grandes provedores de TI na Rio 2016,A saga do jovem CEO da Dasa,Design Sprint: onde o design e a velocidade importam
-3058031327323357308,The Java 8 API Design Principles,Prisma for Android is now live for all in the Google Play Store,The five phases of migrating to Google Cloud Platform,Java 9 na prática: Jigsaw,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Top Programming Languages Trends: The Rise of Big Data
-3040610224044779845,Things you probably didn't know you could do with Chrome's Developer Console,Mobify report reveals impact of mobile website speed,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Hype Driven Development
-3027055440570405664,Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",What to Expect at WWDC 2016
-3020916840917845519,Hype Driven Development,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Things you probably didn't know you could do with Chrome's Developer Console,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly
-2948321821574578861,Quando usar paginação e quando usar scroll infinito?,Shopping app Spring's redesign could be a game-changer,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,The future of the shopping mall,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)"
-2899726011463496555,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Nubank e Goldman fecham parceria de R$ 200 milhões,"Elopar lança o ""Digio"", cartão para brigar com Nubank","Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Nubank pode fechar as portas se BC confirmar mudança amanhã
-2855910583928922225,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,What to Expect at WWDC 2016
-2828628091730682303,Serverless Architectures,What to Inspect When You are Inspecting!,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Spring Boot 1.5.1 released,The Importance of Code Reviews
-2808969983997441543,CSS Containment in Chrome 52 | Web Updates - Google Developers,19 Tips For Everyday Git Use,Containers are not VMs,"Apple's new file manager, APFS, is awesome",The five phases of migrating to Google Cloud Platform,"Autofill: What web devs should know, but don't"
-2808959554282640221,Java 8 Streams : 10 missing features,containerd - a core container runtime project for the industry - Docker Blog,Hype Driven Development,Why Programmers Want Private Offices,Communication patterns in a Microservice world,What makes a good (Android) Software Engineer
-2774293088092853604,Message buttons and the Slack API - Slack Platform Blog,Aplicação de visão computacional com OpenCV,"Autofill: What web devs should know, but don't",Acesse a versão Material Design do YouTube | Google Discovery,How I sped up the initial render of my Polymer app by 86%,DualShock 4 Repair
-2752345899464432864,Design Patterns: Progressive Disclosure for Mobile Apps,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Making open source data more available,"Hello, a nova rede social do Orkut, está liberada no Brasil"
-2747266787901704910,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Agronegócio mantém crescimento com tecnologia - inova.jor,Will blockchain drive the fourth Industrial Revolution?,Este texto do Ranieri é a melhor coisa que você lerá hoje
-2740396993975951758,SOA com microserviços - Sensedia,Microservices: Real Architectural Patterns,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi
